"4545","frívolo (adj)","trivial, frivolous"
"4546","frontal (adj)","frontal"
"4547","geométrico (adj)","geometric"
"4548","grotesco (adj)","grotesque, ridiculous"
"4549","guerrero (adj)","warrior, warlike (adj)"
"4550","hispano (adj)","Hispanic"
"4551","ilegal (adj)","illegal"
"4552","ilimitado (adj)","unlimited"
"4553","impecable (adj)","impeccable, faultless"
"4554","implacable (adj)","relentless, implacable"
"4555","imponente (adj)","impressive, magnificent"
"4556","importado (adj)","imported"
"4557","impreciso (adj)","imprecise"
"4558","inestable (adj)","unstable, unsteady"
"4559","inexistente (adj)","non-existent"
"4560","informativo (adj)","informative"
"4561","ingenioso (adj)","ingenious, clever"
"4562","inseguro (adj)","unsure, unsafe"
"4563","inseparable (adj)","inseparable"
"4564","institucional (adj)","institutional"
"4565","íntegro (adj)","whole, entire, honest"
"4566","involuntario (adj)","involuntary"
"4567","irónico (adj)","ironic, mocking"
"4568","irreal (adj)","unreal"
"4569","irreversible (adj)","irreversible"
"4570","laborioso (adj)","laborious, industrious"
"4571","larguísimo (adj)","very long"
"4572","llano (adj)","flat, level, plain"
"4573","maligno (adj)","evil, malignant"
"4574","marrón (adj)","brown"
"4575","melancólico (adj)","melancholy"
"4576","minúsculo (adj)","minute, insignificant"
"4577","mismísimo (adj)","very same"
"4578","místico (adj)","mystical"
"4579","monstruoso (adj)","monstrous"
"4580","monumental (adj)","monumental"
"4581","móvil (adj)","mobile"
"4582","neutro (adj)","neutral"
"4583","nítido (adj)","clear, clean, neat"
"4584","nulo (adj)","void, null"
"4585","ocasional (adj)","occasional, random"
"4586","parlamentario (adj)","parliamentary"
"4587","paterno (adj)","paternal"
"4588","patriótico (adj)","patriotic"
"4589","pedagógico (adj)","pedagogical, teaching"
"4590","pequeñito (adj)","very small, tiny"
"4591","persistente (adj)","persistent"
"4592","piadoso (adj)","pious, devout, merciful"
"4593","prematuro (adj)","premature"
"4594","prestigioso (adj)","prestigious"
"4595","presunto (adj)","alleged, presumed"
"4596","previsible (adj)","foreseeable"
"4597","prodigioso (adj)","prodigious, famous"
"4598","productivo (adj)","productive, profitable"
"4599","provincial (adj)","provincial"
"4600","recíproco (adj)","reciprocal"
"4601","rítmico (adj)","rhythmic"
"4602","robusto (adj)","strong, robust, sturdy"
"4603","rudo (adj)","rude, crude, coarse"
"4604","sabroso (adj)","delicious, tasty"
"4605","secular (adj)","secular, lay"
"4606","séptimo (adj)","seventh"
"4607","simultáneo (adj)","simultaneous"
"4608","siniestro (adj)","sinister"
"4609","sintético (adj)","synthetic"
"4610","soberano (adj)","sovereign, self-assured"
"4611","soberbio (adj)","proud, arrogant [also orgulloso]"
"4612","sofisticado (adj)","sophisticated"
"4613","sonriente (adj)","smiling"
"4614","subjetivo (adj)","subjective"
"4615","sumido (adj)","sunken, drowned"
"4616","terrestre (adj)","earthly, of the earth"
"4617","trascendental (adj)","momentous, transcendental"
"4618","trascendente (adj)","transcendent"
"4619","trasero (adj)","behind, back"
"4620","triple (adj)","triple"
"4621","turístico (adj)","tourist (adj)"
"4622","usual (adj)","normal, usual"
"4623","vertiginoso (adj)","dizzying"
"4624","vigoroso (adj)","vigorous, strong"
"4625","vulnerable (adj)","vulnerable"
"4626","abiertamente (adv)","openly"
"4627","brevemente (adv)","briefly"
"4628","debidamente (adv)","properly, duly"
"4629","duramente (adv)","harshly, severely"
"4630","económicamente (adv)","economically"
"4631","esencialmente (adv)","essentially"
"4632","espontáneamente (adv)","spontaneously"
"4633","firmemente (adv)","firmly"
"4634","inicialmente (adv)","initially"
"4635","largamente (adv)","for a long time, at length"
"4636","mentalmente (adv)","mentally"
"4637","oficialmente (adv)","officially"
"4638","parcialmente (adv)","partially"
"4639","públicamente (adv)","publicly, in public"
"4640","terriblemente (adv)","terribly"
"4641","tradicionalmente (adv)","traditionally"
"4642","viceversa (adv)","vice versa"
"4643","voluntariamente (adv)","voluntarily"
"4644","hola (interj)","hello, hi"
"4645","fiscal (nc)","district attorney, prosecutor (nc)"
"4646","gigante (nc)","giant (nc)"
"4647","idiota (nc)","idiot, dunce"
"4648","inmigrante (nc)","immigrant"
"4649","intérprete (nc)","performer, interpreter"
"4650","mortal (nc)","mortal (nc)"
"4651","abeja (nf)","bee"
"4652","abstracción (nf)","abstraction"
"4653","acera (nf)","sidewalk"
"4654","actriz (nf)","actress"
"4655","adhesión (nf)","adherence"
"4656","agonía (nf)","agony, grief"
"4657","agresividad (nf)","aggressiveness"
"4658","almohada (nf)","pillow"
"4659","ampliación (nf)","enlargement, extension"
"4660","antena (nf)","antenna"
"4661","araña (nf)","spider"
"4662","audacia (nf)","boldness, audacity"
"4663","autopista (nf)","freeway, motorway"
"4664","bahía (nf)","bay"
"4665","balanza (nf)","balance, (measuring) scale"
"4666","batería (nf)","battery, gun deck"
"4667","bodega (nf)","cellar, pantry, warehouse"
"4668","caballería (nf)","cavalry, knighthood"
"4669","cabina (nf)","cabin, cockpit"
"4670","cabra (nf)","goat"
"4671","cal (nf)","lime, whitewash"
"4672","cautela (nf)","caution"
"4673","cera (nf)","wax"
"4674","clientela (nf)","customers, clients"
"4675","complejidad (nf)","complexity"
"4676","complicidad (nf)","involvement, complicity"
"4677","concurrencia (nf)","coming together, participation"
"4678","consistencia (nf)","consistency"
"4679","conspiración (nf)","conspiracy"
"4680","contestación (nf)","answer"
"4681","convención (nf)","convention, assembly"
"4682","cooperación (nf)","cooperation"
"4683","crema (nf)","cream"
"4684","cuenca (nf)","socket, basin, bowl"
"4685","cueva (nf)","cave"
"4686","decena (nf)","ten (of something)"
"4687","decepción (nf)","disappointment, disenchantment"
"4688","decoración (nf)","decoration"
"4689","delicadeza (nf)","gentleness, tenderness"
"4690","denominación (nf)","name, denomination"
"4691","descarga (nf)","unloading, discharge"
"4692","desilusión (nf)","disappointment, letdown"
"4693","despedida (nf)","goodbye, farewell"
"4694","destreza (nf)","skill"
"4695","detención (nf)","detention, arrest"
"4696","dicha (nf)","fortune, happiness, luck"
"4697","diligencia (nf)","diligence"
"4698","disculpa (nf)","apology, excuse"
"4699","distracción (nf)","distraction, amusement"
"4700","diversidad (nf)","diversity, variety"
"4701","documentación (nf)","documentation"
"4702","edificación (nf)","construction, building"
"4703","eficiencia (nf)","efficiency"
"4704","elevación (nf)","rise, elevation, increase"
"4705","emisión (nf)","broadcast, emission"
"4706","entrañas (nf)","insides, bowels"
"4707","envergadura (nf)","breadth, expanse"
"4708","equivocación (nf)","mistake, misconception"
"4709","espuma (nf)","foam, lather"
"4710","estampa (nf)","print, engraving, illustration"
"4711","estética (nf)","aesthetics"
"4712","euforia (nf)","euphoria, elation"
"4713","exhibición (nf)","exhibition, showing"
"4714","expulsión (nf)","expulsion, ejection"
"4715","extinción (nf)","extinction"
"4716","fabricación (nf)","manufacture, production"
"4717","facción (nf)","face feature, faction"
"4718","factura (nf)","invoice, bill"
"4719","fiera (nf)","wild beast"
"4720","flecha (nf)","arrow, dart"
"4721","frialdad (nf)","coldness, indifference"
"4722","gama (nf)","range, musical scale"
"4723","garra (nf)","claw, fang"
"4724","gratitud (nf)","gratitude"
"4725","grieta (nf)","crack, opening, slit"
"4726","hectárea (nf)","hectare"
"4727","higiene (nf)","hygiene"
"4728","hormiga (nf)","ant"
"4729","hostilidad (nf)","hostility, enmity"
"4730","impotencia (nf)","impotence"
"4731","incidencia (nf)","incidence, impact"
"4732","incursión (nf)","invasion, incursion"
"4733","infección (nf)","infection"
"4734","inicial (nf)","initial (letters) (nf)"
"4735","inspección (nf)","inspection"
"4736","inundación (nf)","flood, deluge"
"4737","inyección (nf)","shot, injection"
"4738","jugada (nf)","move, play"
"4739","latitud (nf)","latitude"
"4740","legislación (nf)","legislation"
"4741","lesión (nf)","injury, wound, harm"
"4742","libra (nf)","pound (money/weight)"
"4743","librería (nf)","bookstore"
"4744","limosna (nf)","alms, charity"
"4745","maldad (nf)","evil, wickedness"
"4746","maldición (nf)","damnation, curse"
"4747","manía (nf)","obsession, mania"
"4748","matanza (nf)","slaughter, carnage"
"4749","mejilla (nf)","cheek"
"4750","metáfora (nf)","metaphor"
"4751","modalidad (nf)","mode, manner"
"4752","navaja (nf)","razor, blade, navaja"
"4753","navegación (nf)","navigation, shipping"
"4754","negociación (nf)","negotiation"
"4755","nobleza (nf)","nobility, uprightness"
"4756","obediencia (nf)","obedience"
"4757","ocurrencia (nf)","idea, witty remark"
"4758","olla (nf)","pot, kettle"
"4759","órbita (nf)","orbit, socket, field"
"4760","pala (nf)","shovel"
"4761","partícula (nf)","particle"
"4762","penetración (nf)","penetration, insight"
"4763","penumbra (nf)","semidarkness, twilight"
"4764","pinta (nf)","pint, aspect, dot"
"4765","pirámide (nf)","pyramid"
"4766","piscina (nf)","swimming pool"
"4767","pólvora (nf)","gunpowder, powder"
"4768","prevención (nf)","prevention, warning"
"4769","prioridad (nf)","priority"
"4770","procedencia (nf)","origin, source"
"4771","prolongación (nf)","extension"
"4772","prosa (nf)","prose"
"4773","pugna (nf)","battle, struggle"
"4774","puta (nf)","whore, prostitute"
"4775","recompensa (nf)","reward, recompense"
"4776","reivindicación (nf)","claim, demand, redemption"
"4777","repercusión (nf)","repercussion, impact"
"4778","resignación (nf)","resignation, acceptance"
"4779","restricción (nf)","restriction"
"4780","rigidez (nf)","rigidity"
"4781","senda (nf)","path, lane"
"4782","servidumbre (nf)","staff of servants, servitude"
"4783","significación (nf)","meaning, significance"
"4784","sirena (nf)","siren, mermaid"
"4785","soberanía (nf)","sovereignty"
"4786","sobra (nf)","excess, surplus, leftover"
"4787","táctica (nf)","tactics, strategy"
"4788","tasa (nf)","rate, fee, levy"
"4789","toalla (nf)","towel"
"4790","torta (nf)","cake"
"4791","tregua (nf)","truce, rest"
"4792","vara (nf)","rod, stick"
"4793","vecindad (nf)","nearness, vicinity"
"4794","ventanilla (nf)","vehicle window, box office"
"4795","vereda (nf)","path, sidewalk"
"4796","vibración (nf)","vibration"
"4797","acta (nf el)","meeting proceedings, minutes"
"4798","adjetivo (nm)","adjective"
"4799","admirador (nm)","admirer"
"4800","agradecimiento (nm)","gratitude, gratefulness"
"4801","apuro (nm)","trouble, predicament"
"4802","artefacto (nm)","artifact, device"
"4803","asilo (nm)","asylum, shelter"
"4804","astro (nm)","star (nm)"
"4805","atentado (nm)","attack, offense"
"4806","autobús (nm)","bus"
"4807","bachillerato (nm)","high school diploma"
"4808","banquete (nm)","banquet, feast"
"4809","bicho (nm)","bug, creature"
"4810","buey (nm)","ox"
"4811","burro (nm)","donkey"
"4812","caldo (nm)","broth, bouillon, soup"
"4813","campeón (nm)","champion"
"4814","caramelo (nm)","piece of candy, caramel"
"4815","centavo (nm)","cent"
"4816","cerco (nm)","fence, circle, ring"
"4817","chiquillo (nm)","kid, youngster"
"4818","coco (nm)","coconut"
"4819","cohete (nm)","rocket"
"4820","comando (nm)","command, order"
"4821","complemento (nm)","complement, supplement"
"4822","comunismo (nm)","communism"
"4823","convencimiento (nm)","convincing (nm)"
"4824","cordón (nm)","cord, yarn, braid"
"4825","cráneo (nm)","skull, cranium"
"4826","delirio (nm)","delirium, nonsense"
"4827","desconcierto (nm)","disorder, chaos"
"4828","descuido (nm)","neglect, oversight"
"4829","desenlace (nm)","outcome, result"
"4830","desequilibrio (nm)","imbalance, unsteadiness"
"4831","desperdicio (nm)","waste, refuse, garbage"
"4832","despliegue (nm)","deployment, display"
"4833","diamante (nm)","diamond"
"4834","dictador (nm)","dictator"
"4835","elefante (nm)","elephant"
"4836","emperador (nm)","emperor"
"4837","encaje (nm)","lace"
"4838","enigma (nm)","enigma, mystery"
"4839","ente (nm)","entity, being, firm"
"4840","entretenimiento (nm)","entertainment"
"4841","equivalente (nm)","equivalent (nm)"
"4842","escaparate (nm)","showcase, display window"
"4843","escrito (nm)","manuscript, writing"
"4844","fósforo (nm)","match, match stick"
"4845","gabinete (nm)","cabinet, den, office"
"4846","ganador (nm)","winner"
"4847","gusano (nm)","worm, caterpillar"
"4848","hueco (adj)","hollow (adj)"
"4849","incremento (nm)","increase, raise"
"4850","infinito (nm)","infinite, infinity (nm)"
"4851","ingrediente (nm)","ingredient"
"4852","intermedio (nm)","means, interval (nm)"
"4853","jinete (nm)","rider, horseman"
"4854","lomo (nm)","back, loin, spine"
"4855","martillo (nm)","hammer"
"4856","medicamento (nm)","medicine, drug"
"4857","micrófono (nm)","microphone"
"4858","molino (nm)","mill, windmill"
"4859","mosaico (nm)","mosaic"
"4860","muelle (nm)","wharf, dock"
"4861","muslo (nm)","thigh"
"4862","olfato (nm)","sense of smell"
"4863","oso (nm)","bear"
"4864","oxígeno (nm)","oxygen"
"4865","pabellón (nm)","pavilion, sports hall"
"4866","padrino (nm)","godparent, sponsor"
"4867","paraje (nm)","place, spot"
"4868","paréntesis (nm)","parenthesis, digression"
"4869","participante (nm)","participant"
"4870","pasajero (adj)","fleeting, transitory (adj)"
"4871","pato (nm)","duck"
"4872","peón (nm)","unskilled laborer, field hand"
"4873","periodismo (nm)","journalism"
"4874","pionero (nm)","pioneer"
"4875","precedente (nm)","precedent"
"4876","profeta (nm)","prophet"
"4877","puñado (nm)","fistful, small group"
"4878","rancho (nm)","ranch, farm"
"4879","rebaño (nm)","herd, flock"
"4880","recelo (nm)","mistrust, suspicion"
"4881","recipiente (nm)","container, recipient, tank"
"4882","reproche (nm)","reproach, criticism"
"4883","rescate (nm)","rescue, ransom"
"4884","retiro (nm)","withdrawal, retreat"
"4885","retroceso (nm)","movement backwards"
"4886","roce (nm)","brush, rubbing, contact"
"4887","rol (nm)","role"
"4888","sargento (nm)","sergeant"
"4889","soporte (nm)","support, endorsement"
"4890","sótano (nm)","basement"
"4891","tanque (nm)","tank, large container"
"4892","tejado (nm)","roof, housetop"
"4893","temperamento (nm)","temperament, personality"
"4894","tenis (nm)","tennis"
"4895","tenor (nm)","meaning, sense, tenor"
"4896","tigre (nm)","tiger"
"4897","tranvía (nm)","trolley, tram, streetcar"
"4898","trazo (nm)","line, stroke"
"4899","trono (nm)","throne"
"4900","vaivén (nm)","swinging, rocking"
"4901","vegetal (nm)","plant, vegetable (nm)"
"4902","velo (nm)","veil"
"4903","vestuario (nm)","wardrobe, changing room"
"4904","violín (nm)","violin"
"4905","volcán (nm)","volcano"
"4906","whisky (nm)","whisky"
"4907","agricultor (nm/f)","farmer"
"4908","bailarín (nm/f)","dancer"
"4909","cirujano (nm/f)","surgeon"
"4910","diplomático (nm/f)","diplomat (nm/f)"
"4911","economista (nm/f)","economist"
"4912","editor (nm/f)","editor, publisher"
"4913","guerrero (nm/f)","warrior, soldier (nm/f)"
"4914","inspector (nm/f)","inspector"
"4915","marinero (nm/f)","sailor"
"4916","psicólogo (nm/f)","psychologist"
"4917","cólera (nmf)","rage (f), cholera (m)"
"4918","cometa (nmf)","comet (m), kite (f)"
"4919","editorial (nmf)","publisher (f), editorial article (m)"
"4920","veintidós (num)","twenty-two"
"4921","acatar (v)","to comply with, abide by"
"4922","adentrar (v)","to penetrate, go inside"
"4923","adherir (v)","to adhere, attach"
"4924","aflojar (v)","to loosen"
"4925","alarmar (v)","to alarm"
"4926","alertar (v)","to alert, warn"
"4927","alojar (v)","to host, accommodate"
"4928","andar (nm)","walk, gait, pace (nm)"
"4929","asentir (v)","to assent, agree"
"4930","aventurar (v)","to venture, risk"
"4931","bordear (v)","to border"
"4932","conferir (v)","to confer"
"4933","decaer (v)","to decay, wane"
"4934","demandar (v)","to claim, sue"
"4935","desayunar (v)","to have breakfast"
"4936","descifrar (v)","to decipher"
"4937","desesperar (v)","to despair, lose hope"
"4938","desmentir (v)","to contradict"
"4939","despejar (v)","to clear up"
"4940","deteriorar (v)","to deteriorate"
